,Title,Ratings,Reviews,Runtime,Budget,World_Gross,Profit_Return,Genre1,Genre2,Genre3
22295,Insidious,6.9,254197,103.0,1500000,99870886,66.58059066666667,Horror,Mystery,Thriller
21013,Benji,7.4,101,79.0,500000,31559560,63.11912,Documentary,Sport,
22087,Split,7.3,358543,117.0,5000000,278964806,55.7929612,Horror,Thriller,
40606,Get Out,7.7,400474,104.0,5000000,255367951,51.0735902,Horror,Mystery,Thriller
41896,Moonlight,7.4,227964,111.0,1500000,65245512,43.497008,Drama,,
39525,Dangal,8.5,123638,161.0,9500000,294654618,31.01627557894737,Action,Biography,Drama
10851,Lights Out,8.6,22,,5000000,148806510,29.761302,Drama,,
10852,Lights Out,6.6,10,,5000000,148806510,29.761302,Drama,,
35182,Sinister,6.8,198345,110.0,3000000,87727807,29.242602333333334,Horror,Mystery,Thriller
40121,A Ghost Story,6.8,46280,92.0,100000,2769782,27.69782,Drama,Fantasy,Romance
21037,You're Next,6.6,79451,95.0,1000000,26887177,26.887177,Action,Comedy,Horror
18960,Your Sister's Sister,6.7,24780,90.0,120000,3090593,25.754941666666667,Comedy,Drama,
39012,The Fault in Our Stars,7.7,315135,126.0,12000000,307166834,25.597236166666665,Drama,Romance,
11833,Black Swan,8.0,648854,108.0,13000000,331266710,25.482054615384616,Drama,Thriller,
42048,Billy Elliot,8.5,1109,169.0,5000000,109253745,21.850749,Comedy,Drama,Music
4997,10 Cloverfield Lane,7.2,260383,103.0,5000000,108286422,21.6572844,Drama,Horror,Mystery
41541,La La Land,8.0,436070,128.0,20000000,426351163,21.31755815,Comedy,Drama,Music
11200,It,7.4,359123,135.0,35000000,697457969,19.927370542857144,Horror,Thriller,
43789,A Quiet Place,7.6,305031,90.0,17000000,334522294,19.677782,Drama,Horror,Sci-Fi
3885,Fruitvale Station,7.5,68187,85.0,900000,17549645,19.499605555555554,Biography,Drama,Romance
17141,Courageous,7.0,17586,129.0,2000000,35185884,17.592942,Drama,,
4895,Blue Valentine,7.4,170089,112.0,1000000,16566240,16.56624,Drama,Romance,
8014,Bohemian Rhapsody,8.0,345466,134.0,55000000,894985342,16.272460763636364,Biography,Drama,Music
22833,The Conjuring,7.5,397233,112.0,20000000,318000141,15.90000705,Horror,Mystery,Thriller
23576,Wonder,8.0,111632,113.0,20000000,304604712,15.2302356,Drama,Family,
21090,The Imitation Game,8.0,620834,114.0,15000000,227740463,15.182697533333334,Biography,Drama,Thriller
3567,Like Crazy,6.7,55841,86.0,250000,3728400,14.9136,Drama,Romance,
42393,Dragon Ball Super: Broly,8.0,16465,100.0,8500000,122747755,14.440912352941176,Action,Adventure,Animation
6287,Boyhood,7.9,315584,165.0,4000000,57273049,14.31826225,Drama,,
41966,Green Book,8.3,204972,130.0,23000000,322034439,14.001497347826087,Biography,Comedy,Drama
28506,Deadpool,8.0,820847,108.0,58000000,801025593,13.810786086206896,Action,Adventure,Comedy
28943,The Best Exotic Marigold Hotel,7.3,85811,124.0,10000000,134639780,13.463978,Comedy,Drama,Romance
38827,"Three Billboards Outside Ebbing, Missouri",8.2,344047,115.0,12000000,160191915,13.34932625,Crime,Drama,
36423,Kevin Hart: Let Me Explain,6.8,7880,75.0,2500000,32327255,12.930902,Comedy,Documentary,
7298,Beasts of the Southern Wild,7.3,77440,93.0,1800000,23265132,12.925073333333334,Adventure,Drama,Fantasy
6495,Despicable Me 2,7.4,344230,98.0,76000000,975216835,12.831800460526315,Adventure,Animation,Comedy
37701,Us,7.1,102511,116.0,20000000,254210310,12.7105155,Horror,Mystery,Thriller
37590,Lion,8.1,181601,118.0,12000000,149570720,12.464226666666667,Biography,Drama,
41726,Glass,8.2,84,71.0,20000000,245303505,12.26517525,Drama,Mystery,Thriller
41735,Glass,6.8,133793,129.0,20000000,245303505,12.26517525,Drama,Sci-Fi,Thriller
42877,I Can Only Imagine,7.4,11439,110.0,7000000,85604221,12.22917442857143,Biography,Drama,Family
7003,The Grace Card,6.6,2488,101.0,200000,2430735,12.153675,Drama,,
33217,Dallas Buyers Club,8.0,402462,117.0,5000000,60611845,12.122369,Biography,Drama,
14081,Another Earth,7.0,85839,92.0,175000,2102779,12.01588,Drama,Romance,Sci-Fi
16113,All You Need Is Love,6.8,9,90.0,300000,3565259,11.884196666666666,Documentary,,
25559,Whiplash,8.5,616916,106.0,3300000,38969037,11.80879909090909,Drama,Music,
24876,The Fighter,7.8,316539,116.0,11000000,129262388,11.751126181818181,Biography,Drama,Sport
36641,It Follows,6.9,182839,100.0,2000000,23250755,11.6253775,Horror,Mystery,
38290,The Witch,6.8,154278,92.0,3500000,40454520,11.558434285714286,Horror,Mystery,
42289,Five Feet Apart,7.2,10645,116.0,7000000,80504421,11.500631571428572,Drama,Romance,
16671,The Sessions,7.2,39731,95.0,1000000,11495204,11.495204,Biography,Comedy,Drama
