,title_id,title,region,language,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,profit_margin,movie_locations,location_coords,genre1,genre2,genre3
22295,tt1591095,The Further,US,,6.9,254197,Insidious,Insidious,2010,103.0,"Horror,Mystery,Thriller","Apr 1, 2011","$1,500,000","$54,009,150","$99,870,886",66.58059066666667,"['Herald Examiner - 1111 S. Broadway, Downtown, Los Angeles, California, USA', '1153 S Point View St, Los Angeles, California, USA', '4350 Victoria Park Drive, Los Angeles, California, USA', 'Los Angeles, California, USA']","[{'lat': 34.0393451, 'lng': -118.2596387}, {'lat': 34.0547919, 'lng': -118.3690906}, {'lat': 34.046743, 'lng': -118.3304583}, {'lat': 34.0522342, 'lng': -118.2436849}]",Horror,Mystery,Thriller
21013,tt2519480,Benji,US,,7.4,101,Benji,Benji,2012,79.0,"Documentary,Sport","Nov 15, 1974","$500,000","$31,559,560","$31,559,560",63.11912,[],[],Documentary,Sport,
22087,tt4972582,Untitled M. Night Shyamalan Project,US,,7.3,358543,Split,Split,2016,117.0,"Horror,Thriller","Jan 20, 2017","$5,000,000","$138,141,585","$278,964,806",55.7929612,"['Philadelphia Zoo - 3400 W. Girard Avenue, Philadelphia, Pennsylvania, USA', 'Silk City Diner Bar & Lounge - 435 Spring Garden St, Philadelphia, Pennsylvania, USA', 'Sun Center Studios, Aston, Pennsylvania, USA', '30th Street Station - 3001 Market Street, Philadelphia, Pennsylvania, USA', 'Fisherman Restaurant, 440 Schuylkill Rd, Phoenixville, Pennsylvania, USA', 'New Jersey, USA', 'Philadelphia, Pennsylvania, USA', 'Pennsylvania, USA', 'USA']","[{'lat': 39.9720828, 'lng': -75.1958487}, {'lat': 39.96138759999999, 'lng': -75.1463394}, {'lat': 39.8526059, 'lng': -75.40776}, {'lat': 39.9557799, 'lng': -75.1819683}, {'lat': 40.14161610000001, 'lng': -75.5481963}, {'lat': 40.0583238, 'lng': -74.4056612}, {'lat': 39.9525839, 'lng': -75.1652215}, {'lat': 41.2033216, 'lng': -77.1945247}, {'lat': 37.09024, 'lng': -95.712891}]",Horror,Thriller,
40606,tt5052448,Get Out,US,,7.7,400474,Get Out,Get Out,2017,104.0,"Horror,Mystery,Thriller","Feb 24, 2017","$5,000,000","$176,040,665","$255,367,951",51.0735902,"['Fairhope, Alabama, USA', '6892 Heathcroft Lane, Fairhope, Alabama, USA', 'Alabama, USA', 'Mobile, Alabama, USA', 'Ryan Avenue, Mobile, Alabama, USA']","[{'lat': 30.5229719, 'lng': -87.9033261}, {'lat': 30.4623277, 'lng': -87.9047034}, {'lat': 32.3182314, 'lng': -86.902298}, {'lat': 30.6953657, 'lng': -88.0398912}, {'lat': 30.6889422, 'lng': -88.0935642}]",Horror,Mystery,Thriller
41896,tt4975722,Moonlight,US,,7.4,227964,Moonlight,Moonlight,2016,111.0,Drama,"Oct 21, 2016","$1,500,000","$27,854,931","$65,245,512",43.497008,"['Miramar High School, Miramar, Florida, USA', ""Jimmy's Eastside Diner, 7201 Biscayne Blvd., Miami, Florida, USA"", 'Miami, Florida, USA', 'Liberty City, Florida, USA', 'Virginia Key, Florida, USA']","[{'lat': 25.9761609, 'lng': -80.2619686}, {'lat': 25.8413767, 'lng': -80.1841796}, {'lat': 25.7616798, 'lng': -80.1917902}, {'lat': 25.8317637, 'lng': -80.2167149}, {'lat': 25.7399644, 'lng': -80.15681339999999}]",Drama,,
39525,tt5074352,Wrestling Competition,US,,8.5,123638,Dangal,Dangal,2016,161.0,"Action,Biography,Drama","Dec 21, 2016","$9,500,000","$12,391,761","$294,654,618",31.01627557894737,"['Pune, Maharashtra, India', 'Ludhiana, Punjab, India', 'Delhi, India']","[{'lat': 18.5204303, 'lng': 73.8567437}, {'lat': 30.900965, 'lng': 75.8572758}, {'lat': 28.7040592, 'lng': 77.10249019999999}]",Action,Biography,Drama
10851,tt2611518,Lights Out,US,,8.6,22,Lights Out,Lights Out,2013,,Drama,"Jul 22, 2016","$5,000,000","$67,268,835","$148,806,510",29.761302,[],[],Drama,,
10852,tt1085448,Lights Out,US,,6.6,10,Lights Out,Lights Out,2010,,Drama,"Jul 22, 2016","$5,000,000","$67,268,835","$148,806,510",29.761302,"['Los Angeles, California, USA']","[{'lat': 34.0522342, 'lng': -118.2436849}]",Drama,,
35182,tt1922777,Untitled Scott Derrickson Project,US,,6.8,198345,Sinister,Sinister,2012,110.0,"Horror,Mystery,Thriller","Oct 12, 2012","$3,000,000","$48,086,903","$87,727,807",29.242602333333334,"['Long Island, New York, USA', 'Los Angeles, California, USA', '169 Middle Neck Road, Sands Point, New York, USA', 'Kirby Hill, Muttontown, New York, USA']","[{'lat': 40.789142, 'lng': -73.13496099999999}, {'lat': 34.0522342, 'lng': -118.2436849}, {'lat': 40.8577744, 'lng': -73.7146169}, {'lat': 40.8094525, 'lng': -73.53214419999999}]",Horror,Mystery,Thriller
40121,tt6265828,A Ghost Story,US,,6.8,46280,A Ghost Story,A Ghost Story,2017,92.0,"Drama,Fantasy,Romance","Jul 7, 2017","$100,000","$1,594,798","$2,769,782",27.69782,"['Irving, Texas, USA', 'Downtown, Fort Worth, Texas, USA', 'Fort Worth, Texas, USA', 'Texas, USA', 'Dallas, Texas, USA', 'USA']","[{'lat': 32.8140177, 'lng': -96.9488945}, {'lat': 32.7554883, 'lng': -97.3307658}, {'lat': 32.7554883, 'lng': -97.3307658}, {'lat': 31.9685988, 'lng': -99.9018131}, {'lat': 32.7766642, 'lng': -96.79698789999999}, {'lat': 37.09024, 'lng': -95.712891}]",Drama,Fantasy,Romance
